Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Mewtwo,Psychic,,680,106,110,90,154,90,130,1,TRUE
Mew,Psychic,,600,100,100,100,100,100,100,1,FALSE
Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE
Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE
Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE
Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE
Arcanine,Fire,,555,90,110,80,100,80,95,1,FALSE
Snorlax,Normal,,540,160,110,65,65,110,30,1,FALSE
Gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE
Lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE
Blastoise,Water,,530,79,83,100,85,105,78,1,FALSE
Flareon,Fire,,525,65,130,60,95,110,65,1,FALSE
Jolteon,Electric,,525,65,65,60,110,95,130,1,FALSE
Vaporeon,Water,,525,130,65,60,110,95,65,1,FALSE
Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE
Cloyster,Water,Ice,525,50,95,180,85,45,70,1,FALSE
Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,FALSE
Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE
Ninetales,Fire,,505,73,76,75,81,100,100,1,FALSE
Muk,Poison,,500,105,105,75,65,100,50,1,FALSE
Alakazam,Psychic,,500,55,50,45,135,95,120,1,FALSE
Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE
Pinsir,Bug,,500,65,125,100,55,70,85,1,FALSE
Kabutops,Rock,Water,495,60,115,105,65,70,80,1,FALSE
Omastar,Rock,Water,495,70,60,125,115,70,55,1,FALSE
Golem,Rock,Ground,495,80,120,130,55,65,45,1,FALSE
Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,FALSE
Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE
Weezing,Poison,,490,65,90,120,85,70,60,1,FALSE
Tauros,Normal,,490,75,100,95,40,70,110,1,FALSE
Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,FALSE
Electrode,Electric,,480,60,50,70,80,80,140,1,FALSE
Kingler,Water,,475,55,130,115,50,50,75,1,FALSE
Magneton,Electric,Steel,465,50,60,95,120,70,70,1,FALSE
Dodrio,Normal,Flying,460,60,110,70,60,60,100,1,FALSE
Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE
Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE
Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,FALSE
Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,FALSE
Chansey,Normal,,450,250,5,5,35,105,50,1,FALSE
Sandslash,Ground,,450,75,100,110,45,55,65,1,FALSE
Tangela,Grass,,435,65,55,115,100,40,60,1,FALSE
Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE
Marowak,Ground,,425,60,80,110,50,80,45,1,FALSE
Onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE
