Type,NORMAL,FIGHTING,FLYING,POISON,GROUND,ROCK,BUG,GHOST,FIRE,WATER,GRASS,ELECTRIC,PSYCHIC,ICE,DRAGON
NORMAL,1,1,1,1,1,0.5,1,0,1,1,1,1,1,1,1
FIGHTING,2,1,0.5,0.5,1,2,0.5,0,1,1,1,1,0.5,2,1
FLYING,1,2,1,1,1,0.5,2,1,1,1,2,0.5,1,1,1
POISON,1,1,1,0.5,0.5,0.5,2,0.5,1,1,2,1,1,1,1
GROUND,1,1,0,2,1,2,0.5,1,2,1,0.5,2,1,1,1
ROCK,1,0.5,2,1,0.5,1,2,1,2,1,1,1,1,2,1
BUG,1,0.5,0.5,2,1,1,1,0.5,0.5,1,2,1,2,1,1
GHOST,0,1,1,1,1,1,1,2,1,1,1,1,0,1,1
FIRE,1,1,1,1,1,0.5,2,1,0.5,0.5,2,1,1,2,0.5
WATER,1,1,1,1,2,2,1,1,2,0.5,0.5,1,1,1,0.5
GRASS,1,1,0.5,0.5,2,2,0.5,1,0.5,2,0.5,1,1,1,0.5
ELECTRIC,1,1,2,1,0,1,1,1,1,2,0.5,0.5,1,1,0.5
PSYCHIC,1,2,1,2,1,1,1,1,1,1,1,1,0.5,1,1
ICE,1,1,2,1,2,1,1,1,1,0.5,2,1,1,0.5,2
DRAGON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
